,entry_date,exit_date,entry_price,exit_price,direction,return,bars_held
149,2021-09-28,2021-09-29,138.7916717529297,139.6914825439453,1.0,0.006483175680868123,1
150,2021-09-30,2021-10-07,138.3906707763672,140.14134216308594,1.0,0.0126502124521656,7
151,2021-10-13,2021-10-19,137.8136749267578,145.4911651611328,1.0,0.055709204753848,6
152,2021-10-25,2021-10-26,145.37379455566406,146.03887939453125,1.0,0.004574998134292522,1
153,2021-10-27,2021-10-28,145.57916259765625,149.2174530029297,1.0,0.024991834960122323,1
154,2021-11-04,2021-11-05,147.64280700683594,148.17173767089844,1.0,0.003582502085848383,1
155,2021-11-08,2021-11-09,147.3489990234375,147.71136474609375,1.0,0.0024592343691361737,1
156,2021-11-15,2021-11-18,146.9180145263672,154.62631225585938,1.0,0.05246666145293428,3
157,2022-03-14,2022-03-16,147.7132568359375,156.5101318359375,1.0,0.0595537271903126,2
158,2022-03-22,2022-03-24,165.5619659423828,170.71067810058594,1.0,0.031098399495901898,2
159,2022-05-12,2022-05-13,140.0142059326172,144.48294067382812,1.0,0.03191629528907622,1
160,2022-05-19,2022-05-27,134.8972625732422,146.9677734375,1.0,0.08947928693292907,8
161,2022-06-13,2022-06-14,129.5249481201172,130.38919067382812,1.0,0.006672402237980187,1
162,2022-06-16,2022-06-17,127.73741149902344,129.2106475830078,1.0,0.011533317191069259,1
163,2022-06-23,2022-07-08,135.80081176757812,144.4141845703125,1.0,0.06342651925730816,15
164,2022-07-11,2022-07-12,142.28292846679688,143.25526428222656,1.0,0.006833819249486362,1
165,2022-07-13,2022-07-15,142.8918914794922,147.48829650878906,1.0,0.03216701088988349,2
166,2022-07-18,2022-07-19,144.44366455078125,148.30345153808594,1.0,0.02672174649756081,1
167,2022-07-20,2022-07-21,150.3070526123047,152.57583618164062,1.0,0.015094325448506642,1
168,2022-07-26,2022-07-27,148.89276123046875,153.99008178710938,1.0,0.03423484469302415,1
169,2022-09-29,2022-10-04,140.1300048828125,143.6903533935547,1.0,0.025407467256706548,5
170,2022-10-07,2022-10-13,137.77943420410156,140.63160705566406,1.0,0.0207010056910046,6
171,2022-10-14,2022-10-19,136.09762573242188,141.4872283935547,1.0,0.03960100429473454,5
172,2022-10-20,2022-10-24,141.02499389648438,146.9850311279297,1.0,0.04226227611695639,4
173,2022-11-04,2022-11-11,136.32339477539062,147.4751739501953,1.0,0.0818038546735034,7
174,2022-11-29,2022-11-30,139.07192993164062,145.8299560546875,1.0,0.04859374660557823,1
175,2022-12-07,2022-12-08,138.84536743164062,140.52993774414062,1.0,0.012132708088581957,1
176,2022-12-15,2022-12-16,134.47129821777344,132.51089477539062,1.0,-0.014578601295333525,1
177,2022-12-20,2022-12-21,130.33377075195312,133.4369354248047,1.0,0.023809367709903842,1
178,2022-12-28,2022-12-29,124.16678619384766,127.6837158203125,1.0,0.028324238182135572,1
179,2023-01-03,2023-01-04,123.2112045288086,124.48204040527344,1.0,0.010314288228289364,1
180,2023-01-05,2023-01-06,123.16195678710938,127.693603515625,1.0,0.036794208591121744,1
181,2023-01-18,2023-01-19,133.2005157470703,133.25961303710938,1.0,0.00044367163075614683,1
182,2023-01-20,2023-01-24,135.82095336914062,140.41172790527344,1.0,0.033800193727515575,4
183,2023-01-25,2023-01-27,139.75167846679688,143.76116943359375,1.0,0.028690109562794813,2
184,2023-01-30,2023-02-02,140.87474060058594,148.57850646972656,1.0,0.054685217777846136,3
185,2023-02-10,2023-02-13,148.99282836914062,151.79489135742188,1.0,0.018806697066914752,3
186,2023-03-01,2023-03-06,143.36895751953125,151.77517700195312,1.0,0.05863347008906506,5
187,2023-03-13,2023-03-16,148.4600067138672,153.7681884765625,1.0,0.03575496108474507,3
188,2023-04-14,2023-04-17,163.00315856933594,163.0228729248047,1.0,0.00012094462243419774,3
189,2023-05-09,2023-05-10,169.47549438476562,171.24159240722656,1.0,0.010420963979909147,1
190,2023-05-16,2023-05-17,170.00633239746094,170.61888122558594,1.0,0.003603094187650086,1
191,2023-05-23,2023-05-26,169.50244140625,173.32601928710938,1.0,0.022557656687052237,3
192,2023-06-21,2023-06-22,181.7537384033203,184.7572784423828,1.0,0.01652532743176649,1
193,2023-06-26,2023-06-30,183.0480499267578,191.64369201660156,1.0,0.046958392035769216,4
194,2023-07-11,2023-07-12,185.8242950439453,187.49404907226562,1.0,0.008985660502171876,1
195,2023-07-13,2023-07-17,188.25482177734375,191.66343688964844,1.0,0.018106389414748635,4
196,2023-07-24,2023-07-26,190.43832397460938,192.16732788085938,1.0,0.009079075420137197,2
197,2023-08-07,2023-08-08,176.7050323486328,177.64361572265625,1.0,0.005311582593593857,1
198,2023-08-17,2023-08-23,172.14532470703125,179.18943786621094,1.0,0.040919572873488394,6
199,2023-09-27,2023-10-06,168.61337280273438,175.59812927246094,1.0,0.041424688644940574,9
200,2023-10-11,2023-10-12,177.88351440429688,178.7838134765625,1.0,0.005061172055660025,1
201,2023-10-23,2023-11-01,171.156005859375,172.1156463623047,1.0,0.005606817582072733,9
202,2023-11-08,2023-11-09,180.9405517578125,180.46571350097656,1.0,-0.0026242777101260573,1
203,2023-11-13,2023-11-14,183.0710906982422,185.6864013671875,1.0,0.014285765485803292,1
204,2023-11-30,2023-12-01,188.1728973388672,189.4508514404297,1.0,0.006791382391594489,1
205,2024-02-12,2024-02-13,185.6356658935547,183.54273986816406,1.0,-0.011274374540670052,1
206,2024-03-04,2024-03-14,173.6831817626953,171.6001739501953,1.0,-0.011993146321709086,10
207,2024-03-15,2024-03-18,171.22323608398438,172.31434631347656,1.0,0.006372442516838088,3
208,2024-03-25,2024-03-27,169.4675750732422,171.90765380859375,1.0,0.014398499148270604,2
209,2024-04-01,2024-04-02,168.6542205810547,167.47384643554688,1.0,-0.006998782132111117,1
210,2024-04-04,2024-04-05,167.45399475097656,168.2078399658203,1.0,0.00450180490447424,1
